Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;BA;ALAGOINHAS;RPMP COMERCIO DE COMBUSTIVEIS LTDA; 06.041.306/0002-53;AVENIDA JURACY MAGALHAES;S/N;;CENTRO;48005-440;DIESEL;10/09/2024;5,52;;R$ / litro;BRANCA
NE;BA;ALAGOINHAS;RPMP COMERCIO DE COMBUSTIVEIS LTDA; 06.041.306/0002-53;AVENIDA JURACY MAGALHAES;S/N;;CENTRO;48005-440;DIESEL S10;10/09/2024;5,62;;R$ / litro;BRANCA
NE;BA;ALAGOINHAS;CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.; 08.359.486/0001-60;RODOVIA BR 101, KM 110,5;S/N;;ZONA RURAL;48010-970;GNV;10/09/2024;4,39;;R$ / m³;VIBRA
NE;BA;ALAGOINHAS;CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.; 08.359.486/0001-60;RODOVIA BR 101, KM 110,5;S/N;;ZONA RURAL;48010-970;DIESEL;10/09/2024;5,56;;R$ / litro;VIBRA
NE;BA;ALAGOINHAS;CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.; 08.359.486/0001-60;RODOVIA BR 101, KM 110,5;S/N;;ZONA RURAL;48010-970;DIESEL S10;10/09/2024;5,66;;R$ / litro;VIBRA
NE;BA;ALAGOINHAS;POSTO TROPICAL DE COMBUSTIVEIS LTDA; 04.218.516/0001-68;RUA PAULO AFONSO;420;;PRACA KENNEDY;48020-650;DIESEL;10/09/2024;5,88;;R$ / litro;BRANCA
NE;BA;ALAGOINHAS;POSTO TROPICAL DE COMBUSTIVEIS LTDA; 04.218.516/0001-68;RUA PAULO AFONSO;420;;PRACA KENNEDY;48020-650;DIESEL S10;10/09/2024;5,98;;R$ / litro;BRANCA
NE;BA;ALAGOINHAS;DALILA DERIVADOS DE PETROLEO LTDA; 03.990.964/0001-12;RUA CONSELHEIRO JUNQUEIRA;SN;;CENTRO;48090-021;DIESEL;10/09/2024;5,56;;R$ / litro;PETROBAHIA
NE;BA;ALAGOINHAS;DALILA DERIVADOS DE PETROLEO LTDA; 03.990.964/0001-12;RUA CONSELHEIRO JUNQUEIRA;SN;;CENTRO;48090-021;DIESEL S10;10/09/2024;5,64;;R$ / litro;PETROBAHIA
NE;BA;BARREIRAS;SANDRA REGINA COMBUSTIVEIS LTDA; 03.131.522/0001-10;AVENIDA ANTONIO CARLOS MAGALHAES;606;;JARDIM OURO BRANCO;47802-147;DIESEL;11/09/2024;6,2;;R$ / litro;LARCO
NE;BA;BARREIRAS;SANDRA REGINA COMBUSTIVEIS LTDA; 03.131.522/0001-10;AVENIDA ANTONIO CARLOS MAGALHAES;606;;JARDIM OURO BRANCO;47802-147;DIESEL S10;11/09/2024;6,3;;R$ / litro;LARCO
NE;BA;BARREIRAS;DT COMBUSTIVEIS LTDA; 08.546.610/0001-05;AVENIDA ANTONIO CARLOS MAGALHAES;2024;;NOVO HORIZONTE;47802-366;DIESEL;11/09/2024;6,2;;R$ / litro;LARCO
NE;BA;BARREIRAS;DT COMBUSTIVEIS LTDA; 08.546.610/0001-05;AVENIDA ANTONIO CARLOS MAGALHAES;2024;;NOVO HORIZONTE;47802-366;DIESEL S10;11/09/2024;6,3;;R$ / litro;LARCO
NE;BA;BARREIRAS;SABBA COMBUSTIVEIS LTDA; 01.664.891/0001-43;RUA SAO BERNARDO;35;;VILA DOS SAS;47810-760;DIESEL;11/09/2024;6,35;;R$ / litro;RAIZEN
NE;BA;ILHEUS;CHECON DANTAS COMERCIO DE COMBUSTIVEIS LTDA; 09.166.195/0001-19;AVENIDA ITABUNA;534;;CENTRO;45653-160;DIESEL S10;10/09/2024;6,69;;R$ / litro;RAIZEN
NE;BA;ILHEUS;DERIVADOS DE PETROLEO LELEU LTDA; 13.497.953/0001-59;AVENIDA ITABUNA;2282;;CENTRO;45653-160;DIESEL;10/09/2024;6,69;;R$ / litro;IPIRANGA
NE;BA;ILHEUS;COMERCIAL SAVOIA LTDA; 02.366.787/0001-35;AVENIDA RAYMUNDO SA BARRETO;S/N;LOTES 26 27 E 28;JARDIM SAVOIA;45658-250;DIESEL S10;10/09/2024;6,57;;R$ / litro;BRANCA
NE;BA;ILHEUS;AM DERIVADOS DE PETROLEO E COMERCIO LTDA; 00.175.819/0001-90;AVENIDA PETROBRAS;100;TERREO;CENTRO;45652-155;DIESEL S10;10/09/2024;6,69;;R$ / litro;IPIRANGA
NE;BA;IPIRA;A S VIANA COSTA DANTAS; 02.448.248/0001-45;SITIO SAO JOSE;SN;;SEDE;44600-000;DIESEL;12/09/2024;6,5;;R$ / litro;ALE
NE;BA;IPIRA;A S VIANA COSTA DANTAS; 02.448.248/0001-45;SITIO SAO JOSE;SN;;SEDE;44600-000;DIESEL S10;12/09/2024;6,55;;R$ / litro;ALE
NE;BA;ITABUNA;COMERCIAL HUSSEL ITABUNA I LTDA; 05.117.524/0001-80;AVENIDA MANOEL CHAVES;500;LT.JD.CORDIER L. 8/13;JACANA;45608-401;DIESEL;09/09/2024;5,65;;R$ / litro;BRANCA
NE;BA;ITABUNA;COMERCIAL HUSSEL ITABUNA I LTDA; 05.117.524/0001-80;AVENIDA MANOEL CHAVES;500;LT.JD.CORDIER L. 8/13;JACANA;45608-401;DIESEL S10;09/09/2024;5,78;;R$ / litro;BRANCA
NE;BA;ITABUNA;IC PEREIRA COMERCIO DE  DERIVADOS DE PETROLEO LTDA; 04.028.011/0001-30;AVENIDA FERNANDO GOMES OLIVEIRA;SN;;CENTRO;45600-107;DIESEL S10;12/09/2024;5,82;;R$ / litro;RAIZEN
NE;BA;ITABUNA;DERIVADOS DE PETROLEO E SERVICOS LTDA; 14.345.573/0001-61;AVENIDA JOSE SOARES PINHEIRO;2261;TERREO;LOMANTO JUNIOR;45601-051;DIESEL;12/09/2024;5,71;;R$ / litro;BRANCA
NE;BA;ITABUNA;DERIVADOS DE PETROLEO E SERVICOS LTDA; 14.345.573/0001-61;AVENIDA JOSE SOARES PINHEIRO;2261;TERREO;LOMANTO JUNIOR;45601-051;DIESEL S10;12/09/2024;5,82;;R$ / litro;BRANCA
NE;BA;ITABUNA;DERIVADOS DE PETROLEO TEUNA LTDA; 13.056.270/0001-66;AVENIDA INACIO TOSTA FILHO;834;;CENTRO;45600-201;DIESEL S10;12/09/2024;5,82;;R$ / litro;BRANCA
NE;BA;ITABUNA;POSTO UNIVERSAL COMÉRCIO DE COMBUSTÍVEIS LTDA; 03.340.439/0001-51;RUA MARIA OLIVIA REBOUÇAS;S/N;;CENTRO;45600-000;DIESEL S10;12/09/2024;5,82;;R$ / litro;VIBRA
NE;BA;ITAMARAJU;CODEPEL -COMERCIO DE DERIVADOS DE PETROLEO LTDA; 05.696.709/0001-97;AVENIDA PERIMENRAL;348;TERREO;CENTRO;45836-000;DIESEL;10/09/2024;5,89;;R$ / litro;BRANCA
NE;BA;ITAMARAJU;CODEPEL -COMERCIO DE DERIVADOS DE PETROLEO LTDA; 05.696.709/0001-97;AVENIDA PERIMENRAL;348;TERREO;CENTRO;45836-000;DIESEL S10;10/09/2024;5,99;;R$ / litro;BRANCA
NE;BA;ITAMARAJU;BENTIVI DERIVADOS DE PETROLEO LTDA; 13.683.818/0001-06;RODOVIA BR 101;S/N;KM 808;SEDE;45836-000;DIESEL;10/09/2024;5,97;;R$ / litro;IPIRANGA
NE;BA;ITAMARAJU;BENTIVI DERIVADOS DE PETROLEO LTDA; 13.683.818/0001-06;RODOVIA BR 101;S/N;KM 808;SEDE;45836-000;DIESEL S10;10/09/2024;6,04;;R$ / litro;IPIRANGA
NE;BA;JACOBINA;TROPICAL COMBUSTIVEIS E LUBRIFICANTES LTDA; 07.856.330/0001-22;RUA FRANCISCO ROCHA PIRES;300;;CENTRO;44700-000;DIESEL S10;10/09/2024;6,13;;R$ / litro;BRANCA
NE;BA;JEQUIE;SS COMERCIO DERIVADOS DE PETROLEO LTDA; 08.505.094/0001-62;RUA BERTINO PASSOS;250;;CENTRO;45202-340;DIESEL;10/09/2024;6,09;;R$ / litro;BRANCA
NE;BA;JEQUIE;SS COMERCIO DERIVADOS DE PETROLEO LTDA; 08.505.094/0001-62;RUA BERTINO PASSOS;250;;CENTRO;45202-340;DIESEL S10;10/09/2024;6,19;;R$ / litro;BRANCA
NE;BA;JEQUIE;D & M COMERCIAL LTDA; 03.550.965/0001-46;AVENIDA JOAO GOULART;65;;CENTRO;45200-070;DIESEL;10/09/2024;6,3;;R$ / litro;RAIZEN
NE;BA;JEQUIE;D & M COMERCIAL LTDA; 03.550.965/0001-46;AVENIDA JOAO GOULART;65;;CENTRO;45200-070;DIESEL S10;10/09/2024;6,4;;R$ / litro;RAIZEN
NE;BA;JEQUIE;JEQUIEZINHO COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA; 05.924.835/0001-51;RUA DR. JOAO BRAGA;S/N;;JEQUIEZINHO;45205-011;DIESEL;10/09/2024;5,54;;R$ / litro;BRANCA
NE;BA;JEQUIE;PITU COMERCIO DE DERIVADOS DE PETROLEO LTDA; 02.891.624/0001-71;AVENIDA GOVERNADOR LOMANTO JUNIOR;220;;CENTRO;45202-130;DIESEL S10;10/09/2024;5,89;;R$ / litro;BRANCA
NE;BA;JEQUIE;M W COMERCIO DE COMBUSTIVEIS SERVICOS E ALIMENTOS LTDA; 00.697.413/0001-77;PRACA GOVERNADOR JURACY MAGALHAES;437A;;JEQUIEZINHO;45208-109;DIESEL;10/09/2024;6,09;;R$ / litro;BRANCA
NE;BA;JEQUIE;M W COMERCIO DE COMBUSTIVEIS SERVICOS E ALIMENTOS LTDA; 00.697.413/0001-77;PRACA GOVERNADOR JURACY MAGALHAES;437A;;JEQUIEZINHO;45208-109;DIESEL S10;10/09/2024;6,19;;R$ / litro;BRANCA
NE;BA;JEQUIE;SUDOESTE COMÉRCIO DE COMBUSTÍVEIS & SERVIÇOS LTDA.; 00.296.696/0001-45;AVENIDA OTAVIO MANGABEIRA;S/N;;MANDACARU;45200-000;DIESEL;10/09/2024;6,09;;R$ / litro;IPIRANGA
NE;BA;JEQUIE;SUDOESTE COMÉRCIO DE COMBUSTÍVEIS & SERVIÇOS LTDA.; 00.296.696/0001-45;AVENIDA OTAVIO MANGABEIRA;S/N;;MANDACARU;45200-000;DIESEL S10;10/09/2024;6,19;;R$ / litro;IPIRANGA
NE;BA;POCOES;QUEIROZ SANTOS COMÉRCIO DE COMBUSTIVEL LTDA; 07.183.283/0001-01;RUA GERMANO BATISTA DE SOUZA;320;;PITUBA;45260-000;DIESEL;10/09/2024;5,74;;R$ / litro;BRANCA
NE;BA;POCOES;R.R. COMERCIO VAREJISTA E TRANSPORTE DE DERIVADOS DE PETROLEO LTDA; 06.165.285/0001-05;RUA TIMOTEO GONCALVES DA COSTA;79;;CENTRO;45260-000;DIESEL;09/09/2024;5,74;;R$ / litro;BRANCA
NE;BA;POCOES;POCOES DERIVADOS DE PETROLEO LTDA; 05.799.060/0001-30;RUA VIRGILIO DAMASIO;1;;LAGOA GRANDE;45260-000;DIESEL;10/09/2024;5,74;;R$ / litro;BRANCA
NE;BA;POCOES;POCOES DERIVADOS DE PETROLEO LTDA; 05.799.060/0001-30;RUA VIRGILIO DAMASIO;1;;LAGOA GRANDE;45260-000;DIESEL S10;10/09/2024;5,84;;R$ / litro;BRANCA
NE;BA;POCOES;POSTO E HOTEL PITUBA LTDA; 14.986.103/0001-87;RODOVIA BR 116;S/N;KM    766,620;SEDE;45260-000;DIESEL;10/09/2024;5,59;;R$ / litro;BRANCA
NE;BA;POCOES;POSTO E HOTEL PITUBA LTDA; 14.986.103/0001-87;RODOVIA BR 116;S/N;KM    766,620;SEDE;45260-000;DIESEL S10;10/09/2024;5,69;;R$ / litro;BRANCA
NE;BA;POCOES;AUTO POSTO REFORCO LTDA; 13.315.486/0001-07;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK;754;RODOVIA BR 116            KM 758;PITUBA;45260-000;DIESEL;10/09/2024;5,59;;R$ / litro;VIBRA
NE;BA;POCOES;AUTO POSTO REFORCO LTDA; 13.315.486/0001-07;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK;754;RODOVIA BR 116            KM 758;PITUBA;45260-000;DIESEL S10;10/09/2024;5,69;;R$ / litro;VIBRA
NE;BA;SALVADOR;ECOPOSTOS - COMBUSTIVEIS E SERVICOS LTDA; 04.420.464/0004-50;AVENIDA BARROS REIS - LADO PAR;2938;ARRAIAL DO RETIRO;ARRAIAL DO RETIRO;41204-025;GNV;09/09/2024;4,38;;R$ / m³;VIBRA
NE;BA;SALVADOR;DEUSNEI - COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA; 08.378.412/0001-71;AVENIDA DORIVAL  CAYMMI;17336;;SAO  CRISTOVAO;41635-150;DIESEL S10;10/09/2024;6,39;;R$ / litro;VIBRA
NE;BA;SALVADOR;J&J COMBUSTIVEIS LTDA; 06.115.130/0001-56;AVENIDA ANTONIO CARLOS MAGALHAES;5863;;SANTA TERESA;40265-200;GNV;09/09/2024;4,39;;R$ / m³;IPIRANGA
NE;BA;SALVADOR;PACIFICO COMERCIO E SERVICOS DE COMBUSTIVEIS LTDA; 06.948.623/0001-77;AVENIDA SANTA LUZIA;1137;;HORTO FLORESTAL;40295-050;DIESEL S10;09/09/2024;6,48;;R$ / litro;VIBRA
NE;BA;SALVADOR;AUTO POSTO CAMURUPIM LTDA; 06.895.357/0001-61;AVENIDA OCTAVIO MANGABEIRA;429;;PITUBA;41830-050;DIESEL S10;09/09/2024;5,88;;R$ / litro;RAIZEN
NE;BA;SALVADOR;POSTO KALILANDIA LTDA; 15.151.046/0012-31;AVENIDA LUIS VIANA;2489;;PERNAMBUES;41130-530;GNV;10/09/2024;4,39;;R$ / m³;RAIZEN
NE;BA;SALVADOR;POSTO KALILANDIA LTDA; 15.151.046/0012-31;AVENIDA LUIS VIANA;2489;;PERNAMBUES;41130-530;DIESEL S10;10/09/2024;5,89;;R$ / litro;RAIZEN
NE;BA;SALVADOR;POSTO KALILANDIA LTDA; 15.151.046/0004-21;AVENIDA AVENIDA OCTAVIO MANGABEIRA;S/N;JARDIM PLACAFORD;ITAPOAN;41612-040;DIESEL S10;10/09/2024;5,89;;R$ / litro;VIBRA
NE;BA;SALVADOR;D & B COMERCIAL LTDA; 05.548.976/0001-17;AVENIDA PROFESSOR PINTO DE AGUIAR;2100;;PITUACU;41740-090;DIESEL S10;10/09/2024;6,59;;R$ / litro;RAIZEN
NE;BA;SALVADOR;GAS ON LINE COMERCIO E SERVICOS LTDA; 05.033.611/0001-50;AVENIDA HEITOR DIAS;735;;PAU MIUDO;40315-518;GNV;09/09/2024;4,38;;R$ / m³;LARCO
NE;BA;SALVADOR;GAS ON LINE COMERCIO E SERVICOS LTDA; 05.033.611/0001-50;AVENIDA HEITOR DIAS;735;;PAU MIUDO;40315-518;DIESEL S10;09/09/2024;6,17;;R$ / litro;LARCO
NE;BA;SALVADOR;POSTO GAMELEIRA LTDA; 13.570.353/0001-79;RODOVIA RODOVIA BR 324, KM 9,5;S/N;POSTO;PIRAJA;40301-155;GNV;11/09/2024;4,38;;R$ / m³;VIBRA
NE;BA;SALVADOR;POSTO GAMELEIRA LTDA; 13.570.353/0001-79;RODOVIA RODOVIA BR 324, KM 9,5;S/N;POSTO;PIRAJA;40301-155;DIESEL S10;11/09/2024;5,99;;R$ / litro;VIBRA
NE;BA;SALVADOR;AUTO POSTO BUDIÃO LTDA.; 13.635.461/0001-82;RUA DOUTOR AUGUSTO LOPES PONTES;167;;COSTA AZUL;41760-035;DIESEL S10;10/09/2024;5,83;;R$ / litro;RAIZEN
NE;BA;SALVADOR;J A SOBRAL & CIA LTDA; 13.799.101/0001-16;AVENIDA MARIO LEAL FERREIRA;509;;BONOCO;40252-390;DIESEL S10;10/09/2024;6,39;;R$ / litro;VIBRA
NE;BA;SALVADOR;POSTO DE LUBRIFICACAO BARBALHO LTDA; 15.135.429/0001-63;LADEIRA DO ARCO;88;;BARBALHO;40301-146;DIESEL S10;09/09/2024;6,18;;R$ / litro;VIBRA
NE;BA;SALVADOR;POSTO INDEPENDENCIA DE LUBRIFICACAO LTDA; 15.127.988/0001-21;LADEIRA DA INDEPENDENCIA;173;;NAZARE;40040-340;DIESEL S10;09/09/2024;6,49;;R$ / litro;IPIRANGA
NE;BA;SALVADOR;POSTOS MATARIPE ABASTECIMENTOS E SERVICOS LTDA; 13.578.265/0001-13;AVENIDA MARIO LEAL FERREIRA;2230;VALE DO BONOCO;BROTAS;40285-600;GNV;10/09/2024;4,39;;R$ / m³;VIBRA
NE;BA;SALVADOR;POSTO UP3 COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA; 04.906.594/0001-55;AVENIDA VASCO DA GAMA;1894;;FEDERACAO;40230-731;DIESEL S10;09/09/2024;5,79;;R$ / litro;RAIZEN
