Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;AL;ARAPIRACA;AUTO POSTO M M GARROTE LTDA; 08.738.994/0001-50;RODOVIA AL-220;5848;KM    96;BOM SUCESSO;57309-035;GASOLINA ADITIVADA;09/09/2024;6,29;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;AUTO POSTO M M GARROTE LTDA; 08.738.994/0001-50;RODOVIA AL-220;5848;KM    96;BOM SUCESSO;57309-035;ETANOL;09/09/2024;4,99;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;POSTO ARAPIRACA LTDA; 12.451.076/0001-12;RUA EXPEDICIONARIOS BRASILEIROS;252;;CENTRO;57300-590;GASOLINA;09/09/2024;5,89;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;POSTO ARAPIRACA LTDA; 12.451.076/0001-12;RUA EXPEDICIONARIOS BRASILEIROS;252;;CENTRO;57300-590;GASOLINA ADITIVADA;09/09/2024;5,99;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;POSTO ARAPIRACA LTDA; 12.451.076/0001-12;RUA EXPEDICIONARIOS BRASILEIROS;252;;CENTRO;57300-590;ETANOL;09/09/2024;4,99;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;AUTO POSTO MASSARANDUBA LTDA.; 07.248.398/0001-29;RODOVIA AL 220;4698;;PLANALTO;57308-000;GASOLINA;09/09/2024;5,89;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;AUTO POSTO MASSARANDUBA LTDA.; 07.248.398/0001-29;RODOVIA AL 220;4698;;PLANALTO;57308-000;GASOLINA ADITIVADA;09/09/2024;5,99;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;AUTO POSTO MASSARANDUBA LTDA.; 07.248.398/0001-29;RODOVIA AL 220;4698;;PLANALTO;57308-000;ETANOL;09/09/2024;4,89;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;COMERCIAL DE COMBUSTIVEIS E LUBRIFICANTES VITAL LTDA.; 02.817.655/0001-82;RODOVIA AL-220;1901;;SANTA ESMERALDA;57312-025;GASOLINA;09/09/2024;6,28;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;COMERCIAL DE COMBUSTIVEIS E LUBRIFICANTES VITAL LTDA.; 02.817.655/0001-82;RODOVIA AL-220;1901;;SANTA ESMERALDA;57312-025;ETANOL;09/09/2024;4,98;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;AUTO POSTO SAO FRANCISCO LTDA; 12.706.529/0001-04;RUA SAO FRANCISCO;274;;CENTRO;57300-080;GASOLINA;10/09/2024;5,79;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;DISTRIBUIDORA DE VEICULOS CONFIANCA LIMITADA; 12.396.339/0001-38;RUA QUINZE DE NOVEMBRO;451;;BRASILIA;57313-015;GASOLINA;10/09/2024;5,99;;R$ / litro;RAIZEN
NE;AL;ARAPIRACA;DISTRIBUIDORA DE VEICULOS CONFIANCA LIMITADA; 12.396.339/0001-38;RUA QUINZE DE NOVEMBRO;451;;BRASILIA;57313-015;GASOLINA ADITIVADA;10/09/2024;6,39;;R$ / litro;RAIZEN
NE;AL;ARAPIRACA;DISTRIBUIDORA DE VEICULOS CONFIANCA LIMITADA; 12.396.339/0001-38;RUA QUINZE DE NOVEMBRO;451;;BRASILIA;57313-015;ETANOL;10/09/2024;4,99;;R$ / litro;RAIZEN
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0001-58;RODOVIA AL-110;678;KM    70;CANAFISTULA;57302-802;GASOLINA;09/09/2024;6,29;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0001-58;RODOVIA AL-110;678;KM    70;CANAFISTULA;57302-802;GASOLINA ADITIVADA;09/09/2024;6,39;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0001-58;RODOVIA AL-110;678;KM    70;CANAFISTULA;57302-802;ETANOL;09/09/2024;4,89;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0002-39;AVENIDA EMIDIO DE LIMA,;23;;JARDIM ESPERANCA;57307-350;GASOLINA;09/09/2024;6,29;;R$ / litro;IPIRANGA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0002-39;AVENIDA EMIDIO DE LIMA,;23;;JARDIM ESPERANCA;57307-350;GASOLINA ADITIVADA;09/09/2024;6,49;;R$ / litro;IPIRANGA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0002-39;AVENIDA EMIDIO DE LIMA,;23;;JARDIM ESPERANCA;57307-350;ETANOL;09/09/2024;4,99;;R$ / litro;IPIRANGA
NE;AL;DELMIRO GOUVEIA;AUTO POSTO FREITAS & MAIA LTDA; 12.436.978/0001-80;RUA FLORIANO PEIXOTO;247;;CENTRO;57480-000;GASOLINA;10/09/2024;6,94;;R$ / litro;VIBRA
NE;AL;DELMIRO GOUVEIA;AUTO POSTO FREITAS & MAIA LTDA; 12.436.978/0001-80;RUA FLORIANO PEIXOTO;247;;CENTRO;57480-000;GASOLINA ADITIVADA;10/09/2024;6,98;;R$ / litro;VIBRA
NE;AL;DELMIRO GOUVEIA;AUTO POSTO FREITAS & MAIA LTDA; 12.436.978/0001-80;RUA FLORIANO PEIXOTO;247;;CENTRO;57480-000;ETANOL;10/09/2024;5,12;;R$ / litro;VIBRA
NE;AL;DELMIRO GOUVEIA;AUTO POSTO DA PEDRA LTDA; 05.518.639/0001-87;RUA FLORIANO PEIXOTO;281;;CENTRO;57480-000;GASOLINA;10/09/2024;6,94;;R$ / litro;VIBRA
NE;AL;DELMIRO GOUVEIA;AUTO POSTO DA PEDRA LTDA; 05.518.639/0001-87;RUA FLORIANO PEIXOTO;281;;CENTRO;57480-000;ETANOL;10/09/2024;5,12;;R$ / litro;VIBRA
NE;AL;DELMIRO GOUVEIA;COMERCIO DE COMBUSTIVEIS NENZITA LTDA; 04.431.113/0001-00;AVENIDA CAXANGA;126;;PEDRA VELHA;57480-000;GASOLINA;09/09/2024;6,89;;R$ / litro;BRANCA
NE;AL;DELMIRO GOUVEIA;COMERCIO DE COMBUSTIVEIS NENZITA LTDA; 04.431.113/0001-00;AVENIDA CAXANGA;126;;PEDRA VELHA;57480-000;GASOLINA ADITIVADA;09/09/2024;6,89;;R$ / litro;BRANCA
NE;AL;DELMIRO GOUVEIA;COMERCIO DE COMBUSTIVEIS NENZITA LTDA; 04.431.113/0001-00;AVENIDA CAXANGA;126;;PEDRA VELHA;57480-000;ETANOL;09/09/2024;5,08;;R$ / litro;BRANCA
NE;AL;RIO LARGO;CDA EMPREENDIMENTOS LTDA; 12.486.809/0004-05;RODOVIA BR 104 AL. KM 86;SN;;MATA DO ROLO;57100-000;GASOLINA;09/09/2024;6,25;;R$ / litro;VIBRA
NE;AL;RIO LARGO;CDA EMPREENDIMENTOS LTDA; 12.486.809/0004-05;RODOVIA BR 104 AL. KM 86;SN;;MATA DO ROLO;57100-000;GASOLINA ADITIVADA;09/09/2024;6,35;;R$ / litro;VIBRA
NE;AL;RIO LARGO;CDA EMPREENDIMENTOS LTDA; 12.486.809/0004-05;RODOVIA BR 104 AL. KM 86;SN;;MATA DO ROLO;57100-000;ETANOL;09/09/2024;4,89;;R$ / litro;VIBRA
NE;AL;RIO LARGO;OLIVEIRA & FREITAS LTDA; 01.600.494/0001-08;LOTEAMENTO VILA RICA;S/N;LOTE  12                  QUADRAB;MATA DO ROLO;57100-000;GASOLINA;09/09/2024;6,39;;R$ / litro;IPIRANGA
NE;AL;RIO LARGO;OLIVEIRA & FREITAS LTDA; 01.600.494/0001-08;LOTEAMENTO VILA RICA;S/N;LOTE  12                  QUADRAB;MATA DO ROLO;57100-000;ETANOL;09/09/2024;4,99;;R$ / litro;IPIRANGA
NE;AL;RIO LARGO;AUTO POSTO FORENE LTDA; 05.459.764/0001-63;LOTEAMENTO SAO CAETANO;SN;LOTE  05 E 06             QUADRAF;PREFEITO ANTONIO LINS DE SOUZA;57100-000;GASOLINA;09/09/2024;6,19;;R$ / litro;VIBRA
NE;AL;RIO LARGO;AUTO POSTO FORENE LTDA; 05.459.764/0001-63;LOTEAMENTO SAO CAETANO;SN;LOTE  05 E 06             QUADRAF;PREFEITO ANTONIO LINS DE SOUZA;57100-000;GASOLINA ADITIVADA;09/09/2024;6,29;;R$ / litro;VIBRA
NE;AL;RIO LARGO;AUTO POSTO FORENE LTDA; 05.459.764/0001-63;LOTEAMENTO SAO CAETANO;SN;LOTE  05 E 06             QUADRAF;PREFEITO ANTONIO LINS DE SOUZA;57100-000;ETANOL;09/09/2024;4,89;;R$ / litro;VIBRA
NE;AL;RIO LARGO;AUTO POSTO PIONEIRO LTDA; 05.101.388/0001-30;RODOVIA BR 101 NORTE KM 75;S/N;ZONA RURAL;ZONA RURAL;57100-000;GASOLINA;09/09/2024;6,24;;R$ / litro;VIBRA
NE;AL;RIO LARGO;AUTO POSTO PIONEIRO LTDA; 05.101.388/0001-30;RODOVIA BR 101 NORTE KM 75;S/N;ZONA RURAL;ZONA RURAL;57100-000;GASOLINA ADITIVADA;09/09/2024;6,39;;R$ / litro;VIBRA
NE;AL;RIO LARGO;AUTO POSTO PIONEIRO LTDA; 05.101.388/0001-30;RODOVIA BR 101 NORTE KM 75;S/N;ZONA RURAL;ZONA RURAL;57100-000;ETANOL;09/09/2024;4,79;;R$ / litro;VIBRA
N;AM;PARINTINS;F.J. COMERCIO DE COMBUSTIVEIS LTDA; 09.368.602/0001-70;RUA PARAIBA;41;CONJ  MACURANY;RAIMUNDO MUNIZ;69151-456;GASOLINA;12/09/2024;7,68;;R$ / litro;BRANCA
N;AM;PARINTINS;F.J. COMERCIO DE COMBUSTIVEIS LTDA; 09.368.602/0001-70;RUA PARAIBA;41;CONJ  MACURANY;RAIMUNDO MUNIZ;69151-456;GASOLINA ADITIVADA;12/09/2024;7,68;;R$ / litro;BRANCA
N;AP;MACAPA;AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA; 03.659.452/0006-82;RUA CICERO MARQUES DE SOUZA;3134;;NOVO HORIZONTE;68909-803;GASOLINA;10/09/2024;5,87;;R$ / litro;BRANCA
N;AP;MACAPA;POSTO ICCAR LTDA; 02.280.133/0034-52;AVENIDA RIO VILA NOVA;62;ESQ. C/RUA BEIRA RIO;TREM;68905-160;GASOLINA;10/09/2024;5,77;;R$ / litro;BRANCA
N;AP;MACAPA;POSTO ICCAR LTDA; 02.280.133/0034-52;AVENIDA RIO VILA NOVA;62;ESQ. C/RUA BEIRA RIO;TREM;68905-160;ETANOL;10/09/2024;4,69;;R$ / litro;BRANCA
N;AP;MACAPA;AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA; 03.659.452/0003-30;RUA CLAUDOMIRO DE MORAES;1130;;NOVO BURITIZAL;68904-000;GASOLINA;10/09/2024;5,87;;R$ / litro;BRANCA
N;AP;MACAPA;AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA; 03.659.452/0004-10;AVENIDA VIOLETA MONT'ALVERNE MOREIRA;275;;CONGOS;68900-000;GASOLINA;10/09/2024;5,87;;R$ / litro;BRANCA
N;AP;MACAPA;SEPE TIARAJU EMPREENDIMENTOS LTDA; 05.297.501/0002-86;RUA SETENTRIONAL;S/N;ESQUINA COM BEIRA RIO;ARAXÁ;68903-640;GASOLINA;10/09/2024;5,94;;R$ / litro;BRANCA
N;AP;MACAPA;SEPE TIARAJU EMPREENDIMENTOS LTDA; 05.297.501/0002-86;RUA SETENTRIONAL;S/N;ESQUINA COM BEIRA RIO;ARAXÁ;68903-640;GASOLINA ADITIVADA;10/09/2024;6,17;;R$ / litro;BRANCA
N;AP;MACAPA;AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA; 03.659.452/0002-59;RUA HILDEMAR MAIA;900;A;SANTA RITA;68901-310;GASOLINA;10/09/2024;5,87;;R$ / litro;BRANCA
N;AP;MACAPA;COMERCIAL GRAO DE OURO LTDA; 04.707.467/0001-27;RUA HILDEMAR MAIA;1951;;BURITIZAL;68905-160;GASOLINA;10/09/2024;5,87;;R$ / litro;BRANCA
N;AP;MACAPA;COMERCIAL GRAO DE OURO LTDA; 04.707.467/0001-27;RUA HILDEMAR MAIA;1951;;BURITIZAL;68905-160;ETANOL;10/09/2024;4,94;;R$ / litro;BRANCA
N;AP;MACAPA;AUTO POSTO TERCEIRO MILÊNIO LTDA; 03.199.834/0001-66;RUA MATO GROSSO;430;;PACOVAL;68900-000;GASOLINA;10/09/2024;5,99;;R$ / litro;VIBRA
NE;BA;ALAGOINHAS;RPMP COMERCIO DE COMBUSTIVEIS LTDA; 06.041.306/0002-53;AVENIDA JURACY MAGALHAES;S/N;;CENTRO;48005-440;GASOLINA;10/09/2024;5,92;;R$ / litro;BRANCA
NE;BA;ALAGOINHAS;RPMP COMERCIO DE COMBUSTIVEIS LTDA; 06.041.306/0002-53;AVENIDA JURACY MAGALHAES;S/N;;CENTRO;48005-440;GASOLINA ADITIVADA;10/09/2024;5,92;;R$ / litro;BRANCA
NE;BA;ALAGOINHAS;RPMP COMERCIO DE COMBUSTIVEIS LTDA; 06.041.306/0002-53;AVENIDA JURACY MAGALHAES;S/N;;CENTRO;48005-440;ETANOL;10/09/2024;4,4;;R$ / litro;BRANCA
NE;BA;ALAGOINHAS;CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.; 08.359.486/0001-60;RODOVIA BR 101, KM 110,5;S/N;;ZONA RURAL;48010-970;GASOLINA;10/09/2024;5,96;;R$ / litro;VIBRA
NE;BA;ALAGOINHAS;CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.; 08.359.486/0001-60;RODOVIA BR 101, KM 110,5;S/N;;ZONA RURAL;48010-970;GASOLINA ADITIVADA;10/09/2024;5,96;;R$ / litro;VIBRA
NE;BA;ALAGOINHAS;CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.; 08.359.486/0001-60;RODOVIA BR 101, KM 110,5;S/N;;ZONA RURAL;48010-970;ETANOL;10/09/2024;4,43;;R$ / litro;VIBRA
NE;BA;ALAGOINHAS;POSTO TROPICAL DE COMBUSTIVEIS LTDA; 04.218.516/0001-68;RUA PAULO AFONSO;420;;PRACA KENNEDY;48020-650;GASOLINA;10/09/2024;6,09;;R$ / litro;BRANCA
NE;BA;ALAGOINHAS;POSTO TROPICAL DE COMBUSTIVEIS LTDA; 04.218.516/0001-68;RUA PAULO AFONSO;420;;PRACA KENNEDY;48020-650;GASOLINA ADITIVADA;10/09/2024;6,09;;R$ / litro;BRANCA
NE;BA;ALAGOINHAS;POSTO TROPICAL DE COMBUSTIVEIS LTDA; 04.218.516/0001-68;RUA PAULO AFONSO;420;;PRACA KENNEDY;48020-650;ETANOL;10/09/2024;4,59;;R$ / litro;BRANCA
NE;BA;ALAGOINHAS;DALILA DERIVADOS DE PETROLEO LTDA; 03.990.964/0001-12;RUA CONSELHEIRO JUNQUEIRA;SN;;CENTRO;48090-021;GASOLINA;10/09/2024;5,92;;R$ / litro;PETROBAHIA
NE;BA;ALAGOINHAS;DALILA DERIVADOS DE PETROLEO LTDA; 03.990.964/0001-12;RUA CONSELHEIRO JUNQUEIRA;SN;;CENTRO;48090-021;GASOLINA ADITIVADA;10/09/2024;5,92;;R$ / litro;PETROBAHIA
NE;BA;ALAGOINHAS;DALILA DERIVADOS DE PETROLEO LTDA; 03.990.964/0001-12;RUA CONSELHEIRO JUNQUEIRA;SN;;CENTRO;48090-021;ETANOL;10/09/2024;4,4;;R$ / litro;PETROBAHIA
NE;BA;BARREIRAS;SANDRA REGINA COMBUSTIVEIS LTDA; 03.131.522/0001-10;AVENIDA ANTONIO CARLOS MAGALHAES;606;;JARDIM OURO BRANCO;47802-147;GASOLINA ADITIVADA;11/09/2024;6,33;;R$ / litro;LARCO
NE;BA;BARREIRAS;SANDRA REGINA COMBUSTIVEIS LTDA; 03.131.522/0001-10;AVENIDA ANTONIO CARLOS MAGALHAES;606;;JARDIM OURO BRANCO;47802-147;ETANOL;11/09/2024;4,33;;R$ / litro;LARCO
NE;BA;BARREIRAS;DT COMBUSTIVEIS LTDA; 08.546.610/0001-05;AVENIDA ANTONIO CARLOS MAGALHAES;2024;;NOVO HORIZONTE;47802-366;GASOLINA ADITIVADA;11/09/2024;6,33;;R$ / litro;LARCO
NE;BA;BARREIRAS;DT COMBUSTIVEIS LTDA; 08.546.610/0001-05;AVENIDA ANTONIO CARLOS MAGALHAES;2024;;NOVO HORIZONTE;47802-366;ETANOL;11/09/2024;4,33;;R$ / litro;LARCO
NE;BA;BARREIRAS;SABBA COMBUSTIVEIS LTDA; 01.664.891/0001-43;RUA SAO BERNARDO;35;;VILA DOS SAS;47810-760;GASOLINA;11/09/2024;6,35;;R$ / litro;RAIZEN
NE;BA;BARREIRAS;SABBA COMBUSTIVEIS LTDA; 01.664.891/0001-43;RUA SAO BERNARDO;35;;VILA DOS SAS;47810-760;GASOLINA ADITIVADA;11/09/2024;6,55;;R$ / litro;RAIZEN
NE;BA;ILHEUS;CHECON DANTAS COMERCIO DE COMBUSTIVEIS LTDA; 09.166.195/0001-19;AVENIDA ITABUNA;534;;CENTRO;45653-160;GASOLINA;10/09/2024;6,15;;R$ / litro;RAIZEN
NE;BA;ILHEUS;CHECON DANTAS COMERCIO DE COMBUSTIVEIS LTDA; 09.166.195/0001-19;AVENIDA ITABUNA;534;;CENTRO;45653-160;GASOLINA ADITIVADA;10/09/2024;6,45;;R$ / litro;RAIZEN
NE;BA;ILHEUS;CHECON DANTAS COMERCIO DE COMBUSTIVEIS LTDA; 09.166.195/0001-19;AVENIDA ITABUNA;534;;CENTRO;45653-160;ETANOL;10/09/2024;4,66;;R$ / litro;RAIZEN
NE;BA;ILHEUS;POSTO DE SERVICOS DOM EDUARDO LTDA.; 13.631.353/0001-31;AVENIDA ITABUNA;1814;MODULOS A E B;BASILIO;45658-565;GASOLINA;10/09/2024;6,13;;R$ / litro;BRANCA
NE;BA;ILHEUS;POSTO DE SERVICOS DOM EDUARDO LTDA.; 13.631.353/0001-31;AVENIDA ITABUNA;1814;MODULOS A E B;BASILIO;45658-565;GASOLINA ADITIVADA;10/09/2024;6,13;;R$ / litro;BRANCA
NE;BA;ILHEUS;POSTO DE SERVICOS DOM EDUARDO LTDA.; 13.631.353/0001-31;AVENIDA ITABUNA;1814;MODULOS A E B;BASILIO;45658-565;ETANOL;10/09/2024;4,54;;R$ / litro;BRANCA
NE;BA;ILHEUS;DERIVADOS DE PETROLEO LELEU LTDA; 13.497.953/0001-59;AVENIDA ITABUNA;2282;;CENTRO;45653-160;GASOLINA;10/09/2024;6,15;;R$ / litro;IPIRANGA
